id,name,brand,category,category id,speed,glide,turn,fade,stability,link,pic,name_slug,brand_slug,category_slug,stability_slug,color,background_color,jr_maxweight,jr_diameter,jr_height,jr_rimdepth,jr_rimwidth,Rim Thickness (cm),Rim Depth / Diameter Ratio (%),Rim Configuration,Flexibility (kg),Class,Max Weight Vint (gr),Last Year Production,Certification Number,jr_pdgaapproval
950,Supra,Finish Line,Midrange,18,5,5,0,1,Stable,https://www.marshallstreetdiscgolf.com/?s=Supra&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000291.webp,supra,finish-line,midrange,stable,#1914FF,#FFA5F4,,,,,,,,,,,,,,
951,Supreme EMac Truth,Dynamic Discs,Midrange,18,5,5,0,3,Overstable,https://www.marshallstreetdiscgolf.com/?s=Supreme+Emac+Truth&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000380.webp,supreme-emac-truth,dynamic-discs,midrange,overstable,#FFFFFF,#0082F4,,,,,,,,,,,,,,
952,Supreme Trespass,Dynamic Discs,Distance Driver,15,12,5,-0.5,3,Stable,https://www.marshallstreetdiscgolf.com/?s=trespass&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000368.webp,supreme-trespass,dynamic-discs,distance-driver,stable,#FFFFFF,#0082F4,175.1,21.1,1.7,1.1,16.6,2.2,5.2,30,11.93,,,,22-229,"Dec 19, 2022"
953,Surf,DGA,Putter,19,3,4,-1,1,Understable,https://www.marshallstreetdiscgolf.com/?cat_ids%5B%5D=229&post_type=product&s=surf&variation_toggle=1,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000452.webp,surf,dga,putter,understable,#2876FF,#272727,,,,,,,,,,,,,,
954,Surge,Discraft,Control Driver,16,11,5,-1,3,Stable,https://www.marshallstreetdiscgolf.com/?s=surge&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/8842756.webp,surge,discraft,hybrid-driver,stable,#FF3737,#000000,175.1,21.1,1.6,1.2,17.1,2,5.7,30.25,10.55,,,,06-02,"Feb 8, 2006"
955,Surge SS,Discraft,Control Driver,16,11,5,-2,2,Stable,https://www.marshallstreetdiscgolf.com/?s=surge+ss&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/9155859.webp,surge-ss,discraft,hybrid-driver,stable,#FF3737,#000000,,,,,,,,,,,,,,
956,Suspect,Dynamic Discs,Approach Discs,20,4,3,0,3,Very Overstable,https://www.marshallstreetdiscgolf.com/?s=suspect&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/3171320.webp,suspect,dynamic-discs,approach-discs,very-overstable,#FFFFFF,#0082F4,176.8,21.3,1.6,1.2,18.9,1.2,5.6,47.5,7.6,,,,13-26,"Mar 10, 2013"
957,Svea,Kastaplast,Midrange,18,5,6,-1,0,Understable,https://www.marshallstreetdiscgolf.com/?s=Svea&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000041.webp,svea,kastaplast,midrange,understable,#000000,#21F1B9,181.8,21.9,2.1,1.3,19.3,1.3,5.9,41.5,6.14,,,,20-40,"Jun 10, 2020"
958,Swan 1 Reborn,Westside Discs,Putter,19,3,3,-2.5,0,Understable,https://www.marshallstreetdiscgolf.com/?s=Swan+2&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/3034274.webp,swan-1-reborn,westside-discs,putter,understable,#FFFFFF,#014E13,,,,,,,,,,,,,,
959,Swan 2,Westside Discs,Putter,19,3,3,-1,0,Understable,https://www.marshallstreetdiscgolf.com/?s=Swan2&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/5732093.webp,swan-2,westside-discs,putter,understable,#FFFFFF,#014E13,,,,,,,,,,,,,,
