"Manufacturer / Distributor","Disc Model","Max Weight (gr)","Diameter (cm)","Height (cm)","Rim Depth (cm)","Inside Rim Diameter (cm)","Rim Thickness (cm)","Rim Depth / Diameter Ratio (%)","Rim Configuration","Flexibility (kg)","Class","Max Weight Vint (gr)","Last Year Production","Certification Number","Approved Date"
"Viking Discs (IP-Agency Finland Oy)","Berserker","176.0","21.2","1.7","1.2","17.0","2.1","5.7","28.75","9.53","","","","17-01","Jan 17, 2017"
"Viking Discs (IP-Agency Finland Oy)","Nordic Warrior","178.5","21.5","2.0","1.4","18.7","1.4","6.5","36.00","12.25","","","","17-04","Jan 17, 2017"
"Viking Discs (IP-Agency Finland Oy)","Rune","176.0","21.2","2.1","1.6","19.0","1.1","7.5","55.50","9.07","","","","17-02","Jan 17, 2017"
"Viking Discs (IP-Agency Finland Oy)","Thunder God Thor","174.3","21.0","1.7","1.2","16.0","2.5","5.7","28.00","12.02","","","","17-03","Jan 17, 2017"
"Gateway Disc Sports","Voodoo (revised)","176.0","21.2","2.1","1.6","19.2","1.0","7.5","62.00","9.41","","","","16-90","Dec 30, 2016"
"Gateway Disc Sports","Wizard (revised)","176.0","21.2","2.1","1.8","19.2","1.0","8.5","59.25","9.87","","","","16-91","Dec 30, 2016"
"Dynamic Discs","Sheriff","175.1","21.1","1.6","1.1","16.3","2.4","5.2","30.25","11.79","","","","16-84","Dec 29, 2016"
"RPM Discs/Disc Golf Aotearoa","Ruru (PA2)","174.3","21.0","2.3","1.6","18.9","1.0","7.6","72.75","8.28","","","","16-85","Dec 29, 2016"
"Viking Discs (IP-Agency Finland Oy)","Axe","176.0","21.2","2.0","1.3","19.2","1.0","6.1","57.00","8.16","","","","16-86","Dec 29, 2016"
"Viking Discs (IP-Agency Finland Oy)","Cosmos","174.3","21.0","1.6","1.1","17.4","1.8","5.2","28.50","9.41","","","","16-87","Dec 29, 2016"
"Viking Discs (IP-Agency Finland Oy)","Knife","175.1","21.1","1.9","1.3","19.1","1.0","8.5","58.75","10.32","","","","16-88","Dec 29, 2016"
"Prodiscus","FASTi","175.1","21.1","1.6","1.1","17.1","2.3","5.2","26.75","10.66","","","","16-81","Dec 19, 2016"
"Prodiscus","FLIPPERi","176.0","21.2","1.7","1.2","17.2","2.0","5.7","26.00","10.77","","","","16-82","Dec 19, 2016"
"Discraft","Archer","178.5","21.5","1.8","1.1","18.5","1.5","5.1","36.00","7.94","","","","16-78","Dec 7, 2016"
"Latitude 64","Anchor","180.1","21.7","1.8","1.5","18.9","1.4","6.9","43.25","10.32","","","","16-75","Dec 7, 2016"
"Latitude 64","Caltrop","174.3","21.0","1.9","1.5","19.1","1.0","7.1","64.00","10.66","","","","16-76","Dec 7, 2016"
"Latitude 64","Gladiator","175.1","21.1","1.7","1.1","16.5","2.3","5.2","28.50","12.02","","","","16-77","Dec 7, 2016"
"Innova Champion Discs","Shryke","175.1","21.1","1.7","1.2","16.4","2.3","5.7","26.00","10.32","","","","16-71","Nov 14, 2016"
"Disc King","Lex","178.5","21.5","2.1","1.6","19.5","1.0","7.4","75.25","12.25","","","","16-72","Nov 10, 2016"
"Ozone Discs","Andro C (retooled)","179.3","21.6","1.5","1.3","18.6","1.5","6.0","31.25","3.40","","","","16-73","Nov 10, 2016"
"Element Discs","Chromium","175.1","21.1","2.0","1.2","17.2","2.0","5.7","31.25","9.75","","","","16-69","Oct 21, 2016"
"Element Discs","Radium","181.8","21.9","2.0","1.1","18.9","1.5","5.3","43.25","10.21","","","","16-70","Oct 21, 2016"
"Obsidian Discs Oy","Cinder","176.0","21.2","2.2","1.3","17.5","1.9","6.1","30.25","9.64","","","","16-67","Sep 23, 2016"
"Prodiscus","STARi","179.3","21.6","1.9","1.4","18.9","1.3","6.5","45.00","7.03","","","","16-68","Sep 23, 2016"
"Westside Golf Discs","Queen (Pohjolan Emäntä1)","176.0","21.2","1.5","1.1","16.6","2.3","5.2","29.50","9.19","","","","16-66","Sep 14, 2016"
"Daredevil Discs","Bighorn","176.0","21.2","2.2","1.6","19.2","1.5","7.5","67.75","8.62","","","","16-89","Aug 25, 2016"
"Discraft","Thrasher","175.1","21.1","1.7","1.1","16.8","2.1","5.2","26.75","8.85","","","","16-62","Aug 13, 2016"
"Element Discs","Uranium","176.0","21.2","1.5","1.4","18.7","1.3","6.6","49.50","7.71","","","","16-65","Aug 13, 2016"
"Full Turn Discs","Navigator","179.3","21.6","1.7","1.5","18.9","1.4","6.9","40.50","6.80","","","","16-63","Aug 13, 2016"
"Full Turn Discs","Passport","176.0","21.2","2.1","1.6","19.2","1.0","7.5","64.00","8.16","","","","16-64","Aug 13, 2016"
"Innova Champion Discs","Gargoyle","176.0","21.2","2.0","1.2","18.4","1.4","5.7","43.50","9.07","","","","16-61","Jul 21, 2016"
"Disc Golf Association","Pipeline","177.6","21.4","1.5","1.1","17.8","1.8","5.1","31.00","10.21","","","","16-60","Jun 30, 2016"
"Element Discs","Lithium","181.8","21.9","1.5","1.3","18.9","1.5","5.9","51.75","10.43","","","","16-59","Jun 30, 2016"
"Discmania","P3x (Putt & Approach)","176.0","21.2","1.9","1.6","19.0","1.1","7.5","62.00","7.37","","","","17-79","Jun 26, 2016"
"Reptilian Disc Golf","Tyrant","176.0","21.2","1.4","1.1","17.6","1.8","5.2","28.00","8.62","","","","16-57","Jun 16, 2016"
"Legacy Discs","Fighter","176.0","21.2","1.7","1.2","17.1","2.0","5.7","27.75","11.34","","","","16-53","Jun 6, 2016"
"MVP Disc Sports","Catalyst","175.1","21.1","1.9","1.2","16.3","2.4","5.7","30.00","11.11","","","","16-55","Jun 6, 2016"
"MVP Disc Sports","Energy","175.1","21.1","2.1","1.2","16.3","2.4","5.7","26.00","11.91","","","","16-56","Jun 6, 2016"
"Ozone Discs","Andro C","177.6","21.4","1.5","1.3","18.4","1.5","6.1","31.25","7.26","","","","16-54","Jun 6, 2016"
"Dynamic Discs","Aviator","200.0","27.5","3.2","2.1","26.0","0.8","7.6","89.75","8.85","Super Class","","","16-49","May 26, 2016"
"Dynamic Discs","Gavel","176.8","21.3","1.9","1.4","19.5","1.4","6.6","45.75","9.19","","","","16-50","May 26, 2016"
"Dynamic Discs","Proof","178.5","21.5","1.5","1.1","19.0","1.3","5.1","39.50","9.40","","","","16-51","May 26, 2016"
"MVP Disc Sports","Nitro","176.0","21.2","1.9","1.2","16.3","2.4","5.7","26.75","11.57","","","","16-47","May 13, 2016"
